time,open,high,low,close,volume
2026-07-16 13:25:00,1901.3,1904.2,1900.4,1903.1,1253
2026-07-16 13:30:00,1903.5,1905.0,1902.8,1904.7,434
2026-07-16 13:35:00,1904.7,1907.5,1904.4,1907.0,670
2026-07-16 13:40:00,1907.0,1909.0,1906.6,1907.9,1422
2026-07-16 13:45:00,1907.9,1918.5,1907.7,1918.4,1607
2026-07-16 13:50:00,1918.4,1921.3,1918.3,1920.6,2054
2026-07-16 13:55:00,1921.0,1924.0,1920.2,1922.2,1001
2026-07-16 14:00:00,1924.0,1925.5,1922.3,1923.6,1081
2026-07-16 14:05:00,1923.9,1928.2,1923.6,1927.1,1198
2026-07-16 14:10:00,1927.0,1928.3,1925.9,1926.8,1009
2026-07-16 14:15:00,1927.0,1936.6,1925.8,1936.5,2016
2026-07-16 14:20:00,1936.1,1936.9,1933.2,1935.0,1913
2026-07-16 14:25:00,1934.4,1936.2,1933.0,1935.8,1528
2026-07-16 14:45:00,1935.3,1935.3,1935.3,1935.3,2417
2026-07-17 09:00:00,1927.1,1934.7,1926.8,1933.5,8892
2026-07-17 09:05:00,1933.6,1933.7,1932.1,1933.2,1146
2026-07-17 09:10:00,1933.2,1933.2,1929.1,1930.1,3160
2026-07-17 09:15:00,1930.2,1933.1,1929.3,1932.0,3754
2026-07-17 09:20:00,1932.1,1935.0,1930.6,1932.1,4012
2026-07-17 09:25:00,1932.1,1932.1,1927.5,1927.7,4964
2026-07-17 09:30:00,1927.9,1929.5,1925.0,1928.5,5595
2026-07-17 09:35:00,1928.7,1930.7,1926.3,1927.8,3937
2026-07-17 09:40:00,1927.8,1931.6,1927.5,1930.8,2460
2026-07-17 09:45:00,1931.0,1931.4,1927.7,1928.8,2371
2026-07-17 09:50:00,1928.6,1929.5,1927.5,1927.6,1885
2026-07-17 09:55:00,1927.9,1929.5,1927.5,1928.2,1134
2026-07-17 10:00:00,1928.2,1928.7,1927.7,1927.7,1210
2026-07-17 10:05:00,1927.7,1928.4,1926.6,1927.1,1643
2026-07-17 10:10:00,1927.0,1930.5,1926.5,1929.8,2697
2026-07-17 10:15:00,1929.9,1931.0,1928.5,1928.6,2586
2026-07-17 10:20:00,1928.6,1932.9,1928.3,1931.1,3506
2026-07-17 10:25:00,1931.1,1932.3,1930.2,1932.0,2024
2026-07-17 10:30:00,1932.2,1932.5,1928.8,1929.6,2683
2026-07-17 10:35:00,1929.5,1930.8,1929.0,1929.2,1364
2026-07-17 10:40:00,1929.2,1930.6,1929.2,1930.4,730
2026-07-17 10:45:00,1930.2,1931.9,1930.1,1930.8,1443
2026-07-17 10:50:00,1930.8,1931.1,1928.8,1929.4,1805
2026-07-17 10:55:00,1929.3,1931.5,1929.3,1929.7,1174
2026-07-17 11:00:00,1929.8,1930.6,1929.1,1930.2,834
2026-07-17 11:05:00,1930.2,1932.4,1929.2,1931.0,2132
2026-07-17 11:10:00,1930.8,1931.8,1929.6,1931.6,1273
2026-07-17 11:15:00,1931.4,1932.9,1931.0,1932.0,1930
2026-07-17 11:20:00,1931.9,1934.0,1931.8,1933.5,2721
2026-07-17 11:25:00,1933.6,1934.2,1931.2,1933.9,2766
2026-07-17 13:00:00,1933.6,1934.0,1928.5,1929.1,5724
2026-07-17 13:05:00,1929.2,1929.5,1926.5,1928.0,4722
2026-07-17 13:10:00,1927.8,1930.0,1927.3,1930.0,2698
2026-07-17 13:15:00,1930.0,1931.0,1928.5,1929.9,2199
2026-07-17 13:20:00,1929.8,1931.6,1928.1,1930.9,2557
2026-07-17 13:25:00,1931.0,1931.7,1929.2,1930.4,2091
2026-07-17 13:30:00,1930.3,1931.9,1929.2,1931.7,2137
2026-07-17 13:35:00,1931.7,1932.5,1929.3,1930.0,2563
2026-07-17 13:40:00,1930.1,1932.7,1929.8,1932.6,2033
2026-07-17 13:45:00,1933.1,1933.3,1929.3,1929.7,3432
2026-07-17 13:50:00,1929.7,1931.9,1929.5,1931.3,1431
2026-07-17 13:55:00,1931.3,1932.0,1929.2,1929.6,1804
2026-07-17 14:00:00,1929.8,1931.5,1928.4,1930.9,2956
2026-07-17 14:05:00,1930.9,1932.0,1930.5,1931.0,1791
2026-07-17 14:10:00,1930.9,1931.1,1927.2,1928.9,3697
2026-07-17 14:15:00,1928.6,1930.6,1927.8,1929.9,3440
2026-07-17 14:20:00,1929.9,1931.8,1928.9,1930.7,4254
2026-07-17 14:25:00,1930.7,1931.7,1930.0,1930.9,3350
2026-07-17 14:45:00,1930.0,1930.0,1930.0,1930.0,4607
2026-07-20 09:00:00,1923.5,1925.8,1920.0,1925.3,6669
2026-07-20 09:05:00,1924.9,1928.0,1924.6,1927.1,3138
2026-07-20 09:10:00,1927.2,1928.0,1926.3,1927.4,1768
2026-07-20 09:15:00,1927.1,1927.7,1925.0,1926.2,2533
2026-07-20 09:20:00,1926.0,1926.5,1922.9,1923.1,3205
2026-07-20 09:25:00,1923.1,1923.5,1920.2,1921.9,4595
2026-07-20 09:30:00,1921.8,1924.1,1921.5,1923.5,2243
2026-07-20 09:35:00,1923.5,1923.7,1920.8,1922.9,2467
2026-07-20 09:40:00,1922.8,1924.3,1922.0,1923.7,1515
2026-07-20 09:45:00,1923.7,1923.8,1922.2,1922.4,860
2026-07-20 09:50:00,1922.8,1923.6,1922.0,1923.6,531
2026-07-20 09:55:00,1923.5,1924.4,1922.2,1922.8,1340
2026-07-20 10:00:00,1922.4,1922.8,1921.1,1921.5,1712
2026-07-20 10:05:00,1921.5,1921.9,1915.0,1915.6,5708
2026-07-20 10:10:00,1915.2,1916.5,1913.3,1913.3,5506
2026-07-20 10:15:00,1913.9,1914.7,1912.9,1913.6,3345
2026-07-20 10:20:00,1913.6,1915.8,1912.6,1914.9,2753
2026-07-20 10:25:00,1915.0,1915.9,1914.4,1915.2,1652
2026-07-20 10:30:00,1915.1,1915.8,1914.7,1914.9,1064
2026-07-20 10:35:00,1915.0,1915.5,1914.7,1914.8,765
2026-07-20 10:40:00,1914.8,1915.1,1912.0,1912.0,2258
2026-07-20 10:45:00,1912.0,1913.5,1910.6,1911.7,3155
2026-07-20 10:50:00,1911.6,1914.2,1911.2,1913.4,2295
2026-07-20 10:55:00,1913.5,1914.3,1910.4,1910.5,3083
